,accuracy (%)
sig-ker-PDE,0.9407407407407408
linear,0.937037037037037
rbf,0.937037037037037
gak_1.0,0.9333333333333333
gak_0.1,0.9333333333333333
gak_0.01,0.9333333333333333
gak_0.001,0.9333333333333333
gak_0.0001,0.9333333333333333
sig-ker-1,0.7296296296296296
sig-ker-2,0.8703703703703703
sig-ker-3,0.8777777777777778
sig-ker-4,0.8777777777777778
