,accuracy (%)
sig-ker-PDE,0.6
linear,0.4222222222222222
rbf,0.4666666666666667
sig-ker-1,0.5277777777777778
gak_1.0,0.5
gak_0.1,0.5
gak_0.01,0.5
gak_0.001,0.5
