,accuracy (%)
sig-ker-PDE,0.9305555555555556
linear,0.9305555555555556
rbf,0.8888888888888888
sig-ker-2,0.5555555555555556
sig-ker-3,0.625
sig-ker-4,0.6388888888888888
gak,0.3055555555555556
