,accuracy (%)
linear,0.8293515358361775
rbf,0.7406143344709898
sig-ker-PDE,0.8771331058020477
sig-ker-2,0.4709897610921502
sig-ker-3,0.6484641638225256
sig-ker-4,0.6689419795221843
