,accuracy (%)
sig-ker-PDE,0.9766666666666667
linear,0.9766666666666667
rbf,0.98
gak,0.9733333333333334
sig-ker-1,0.7366666666666667
sig-ker-2,0.8933333333333333
sig-ker-3,0.91
