,accuracy (%)
sig-ker-PDE,0.9152542372881356
linear,0.7966101694915254
rbf,0.5423728813559322
sig-ker-1,0.5084745762711864
sig-ker-2,0.5084745762711864
sig-ker-3,0.7627118644067796
gak_1.0,0.4915254237288136
gak_0.1,0.4915254237288136
gak_0.01,0.4915254237288136
gak_0.001,0.4915254237288136
