,accuracy (%)
linear,0.7611111111111111
poly-2,0.7944444444444444
poly-3,0.7777777777777778
poly-4,0.7277777777777777
rbf,0.8222222222222222
sig-naive-1,0.40555555555555556
sig-naive-2,0.6166666666666667
sig-naive-3,0.6444444444444445
sig-naive-4,0.6444444444444445
sig-PDE,0.7666666666666667
GAK-0.0001,0.2611111111111111
GAK-0.001,0.36666666666666664
GAK-0.01,0.24444444444444444
GAK-0.1,0.36666666666666664
GAK-1.0,0.7777777777777778
