,accuracy (%)
poly-2,0.2833333333333333
poly-3,0.23333333333333334
poly-4,0.23333333333333334
rbf,0.9166666666666666
sig-naive-1,0.6333333333333333
sig-naive-2,0.7833333333333333
sig-naive-3,0.8166666666666667
sig-naive-4,0.8333333333333334
sig-PDE,0.8833333333333333
GAK-0.0001,0.05
GAK-0.001,0.05
GAK-0.01,0.2
GAK-0.1,0.15
GAK-1.0,0.16666666666666666
