,accuracy (%)
linear,0.45
poly-2,0.45
poly-3,0.45
poly-4,0.45
rbf,0.55
sig-naive-1,0.65
sig-naive-2,0.35
sig-naive-3,0.35
sig-naive-4,0.35
sig-PDE,0.8
GAK-0.0001,0.45
GAK-0.001,0.45
GAK-0.01,0.45
GAK-0.1,0.45
GAK-1.0,0.35
