,accuracy (%)
sig-ker-PDE,0.8472222222222222
linear,0.9166666666666666
rbf,0.8888888888888888
sig-ker-1,0.1527777777777778
sig-ker-2,0.5277777777777778
sig-ker-3,0.6527777777777778
sig-ker-4,0.6527777777777778
