,accuracy (%)
linear,0.8
poly-2,0.76875
poly-3,0.79375
poly-4,0.715625
rbf,0.8125
sig-naive-1,0.45625
sig-naive-2,0.74375
sig-naive-3,0.75625
sig-naive-4,0.7625
sig-PDE,0.803125
GAK-0.0001,0.125
GAK-0.001,0.125
GAK-0.01,0.84375
GAK-0.1,0.16875
GAK-1.0,0.30625
