,accuracy (%)
sig-ker-PDE,0.9130434782608695
linear,0.644927536231884
rbf,0.26811594202898553
sig-ker-1,0.26811594202898553
sig-ker-2,0.35507246376811596
sig-ker-3,0.35507246376811596
sig-ker-4,0.45652173913043476
gak,0.26811594202898553
