Created on 01-06-2021,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1609819200000,2021-01-05 04:00:00,BTCUSD,31203.46,34536.29,29914.5,33747.0,2716.7685398763
1609732800000,2021-01-04 04:00:00,BTCUSD,33617.3,33669.0,27632.34,31203.46,4603.921518973
1609646400000,2021-01-03 04:00:00,BTCUSD,32637.23,34776.0,32301.61,33617.3,2175.1388612188
1609560000000,2021-01-02 04:00:00,BTCUSD,29441.14,33309.76,29313.31,32637.23,3684.9366820222
1609473600000,2021-01-01 04:00:00,BTCUSD,29363.61,29684.56,28698.87,29441.14,1370.5696878774
1609387200000,2020-12-31 04:00:00,BTCUSD,29041.41,29524.0,27950.0,29363.61,2081.0594199076
1609300800000,2020-12-30 04:00:00,BTCUSD,28036.65,29316.49,27342.74,29041.41,2728.8441048538
1609214400000,2020-12-29 04:00:00,BTCUSD,26412.52,28250.0,25847.0,28036.65,2498.7053075357
1609128000000,2020-12-28 04:00:00,BTCUSD,27279.54,27487.23,26400.0,26412.52,2082.4552235126
1609041600000,2020-12-27 04:00:00,BTCUSD,26573.88,28395.0,25792.41,27279.54,2524.6411799486
1608955200000,2020-12-26 04:00:00,BTCUSD,24930.31,26940.0,24575.0,26573.88,1745.9710093826
1608868800000,2020-12-25 04:00:00,BTCUSD,23473.44,25029.0,23448.64,24930.31,1886.5475603564
1608782400000,2020-12-24 04:00:00,BTCUSD,22883.53,23800.0,22807.94,23473.44,1399.3937033094
1608696000000,2020-12-23 04:00:00,BTCUSD,23691.25,24094.4,22625.95,22883.53,2967.5795590298
1608609600000,2020-12-22 04:00:00,BTCUSD,22858.81,24064.91,22385.7,23691.25,2060.1083124045
1608523200000,2020-12-21 04:00:00,BTCUSD,23965.15,24115.39,21914.09,22858.81,3615.3695963882
1608436800000,2020-12-20 04:00:00,BTCUSD,23381.12,24299.0,23117.34,23965.15,1249.535491045
1608350400000,2020-12-19 04:00:00,BTCUSD,23140.58,24192.18,22784.55,23381.12,2091.3758676838
1608264000000,2020-12-18 04:00:00,BTCUSD,22840.0,23276.9,22360.51,23140.58,1549.8695565266
1608177600000,2020-12-17 04:00:00,BTCUSD,21767.47,23781.0,21744.05,22840.0,5292.553490155
1608091200000,2020-12-16 04:00:00,BTCUSD,19365.77,22188.68,19317.21,21767.47,5025.6422076429
1608004800000,2020-12-15 04:00:00,BTCUSD,19489.05,19560.0,19056.0,19365.77,1263.2677979373
1607918400000,2020-12-14 04:00:00,BTCUSD,19268.47,19566.02,19038.0,19489.05,1161.9252615714
1607832000000,2020-12-13 04:00:00,BTCUSD,18802.37,19408.16,18787.01,19268.47,822.9433131475
1607745600000,2020-12-12 04:00:00,BTCUSD,18293.19,18950.0,18265.99,18802.37,660.3029677353
1607659200000,2020-12-11 04:00:00,BTCUSD,17990.3,18386.42,17580.04,18293.19,2056.5339074176
1607572800000,2020-12-10 04:00:00,BTCUSD,18406.12,18505.48,17888.01,17990.3,1626.570942905
1607486400000,2020-12-09 04:00:00,BTCUSD,18302.24,18652.1,17610.0,18406.12,2104.7081128839
1607400000000,2020-12-08 04:00:00,BTCUSD,19164.87,19298.64,18025.0,18302.24,1914.4683264309
1607313600000,2020-12-07 04:00:00,BTCUSD,19290.65,19399.99,18908.0,19164.87,1158.3312957476
1607227200000,2020-12-06 04:00:00,BTCUSD,19202.68,19425.0,18888.0,19290.65,423.377303227
1607140800000,2020-12-05 04:00:00,BTCUSD,18832.19,19350.0,18821.9,19202.68,562.9663737146
1607054400000,2020-12-04 04:00:00,BTCUSD,19182.37,19463.92,18510.0,18832.19,1694.4485323071
1606968000000,2020-12-03 04:00:00,BTCUSD,19104.23,19621.51,18884.95,19182.37,1606.4404296008
1606881600000,2020-12-02 04:00:00,BTCUSD,18625.02,19343.23,18347.0,19104.23,1496.3672681874
1606795200000,2020-12-01 04:00:00,BTCUSD,19437.03,19940.4,18107.0,18625.02,4783.0792522438
1606708800000,2020-11-30 04:00:00,BTCUSD,18600.0,19883.33,18350.49,19437.03,3493.032053335
1606622400000,2020-11-29 04:00:00,BTCUSD,17910.0,18600.0,17691.53,18600.0,1138.8076253988
1606536000000,2020-11-28 04:00:00,BTCUSD,17007.21,17910.01,16884.72,17910.0,1454.4953656903
1606449600000,2020-11-27 04:00:00,BTCUSD,17095.85,17354.56,16444.0,17007.21,2825.2457775834
1606363200000,2020-11-26 04:00:00,BTCUSD,17947.66,18098.75,16213.0,17095.85,5570.5439806197
1606276800000,2020-11-25 04:00:00,BTCUSD,18841.7,19500.0,17196.29,17947.66,4131.0886678274
1606190400000,2020-11-24 04:00:00,BTCUSD,18366.84,19444.58,18075.47,18841.7,3893.937596097
1606104000000,2020-11-23 04:00:00,BTCUSD,18392.92,18779.38,18150.91,18366.84,2461.9293006253
1606017600000,2020-11-22 04:00:00,BTCUSD,18580.18,18690.74,17621.05,18392.92,1266.3905330245
1605931200000,2020-11-21 04:00:00,BTCUSD,18700.59,18925.0,18355.0,18580.18,1983.0135988634
1605844800000,2020-11-20 04:00:00,BTCUSD,17957.99,18978.0,17954.29,18700.59,2071.9208767224
1605758400000,2020-11-19 04:00:00,BTCUSD,17939.06,18196.0,17366.03,17957.99,1648.4112087608
1605672000000,2020-11-18 04:00:00,BTCUSD,18052.8,18489.23,17220.0,17939.06,4101.9087911157
1605585600000,2020-11-17 04:00:00,BTCUSD,16597.83,18091.2,16577.44,18052.8,2721.2079400131
1605499200000,2020-11-16 04:00:00,BTCUSD,16022.21,16891.0,15997.45,16597.83,2714.7148673721
